,sample,episode,number_of_iter
500,250,120,9
501,250,120,7
502,250,120,6
503,250,120,7
504,250,120,6
505,250,120,7
506,250,120,7
507,250,120,8
508,250,120,7
509,250,120,6
510,250,120,6
511,250,120,6
512,250,120,6
513,250,120,7
514,250,120,6
515,250,120,7
516,250,120,8
517,250,120,5
518,250,120,6
519,250,120,7
520,250,120,9
521,250,120,7
522,250,120,5
523,250,120,6
524,250,120,9
525,250,120,5
526,250,120,8
527,250,120,8
528,250,120,7
529,250,120,5
530,250,120,5
531,250,120,7
532,250,120,6
533,250,120,8
534,250,120,7
535,250,120,9
536,250,120,7
537,250,120,6
538,250,120,10
539,250,120,8
540,250,120,8
541,250,120,5
542,250,120,6
543,250,120,4
544,250,120,6
545,250,120,8
546,250,120,9
547,250,120,7
548,250,120,3
549,250,120,8
550,250,120,5
551,250,120,7
552,250,120,6
553,250,120,5
554,250,120,4
555,250,120,8
556,250,120,4
557,250,120,6
558,250,120,10
559,250,120,5
560,250,120,7
561,250,120,5
562,250,120,5
563,250,120,7
564,250,120,6
565,250,120,9
566,250,120,7
567,250,120,7
568,250,120,7
569,250,120,7
570,250,120,10
571,250,120,6
572,250,120,8
573,250,120,6
574,250,120,10
575,250,120,6
576,250,120,9
577,250,120,8
578,250,120,8
579,250,120,5
580,250,120,5
581,250,120,8
582,250,120,7
583,250,120,6
584,250,120,7
585,250,120,7
586,250,120,6
587,250,120,6
588,250,120,8
589,250,120,8
590,250,120,6
591,250,120,10
592,250,120,7
593,250,120,7
594,250,120,6
595,250,120,7
596,250,120,6
597,250,120,7
598,250,120,7
599,250,120,6
600,250,120,5
601,250,120,8
602,250,120,6
603,250,120,5
604,250,120,6
605,250,120,11
606,250,120,6
607,250,120,8
608,250,120,6
609,250,120,6
610,250,120,4
611,250,120,7
612,250,120,9
613,250,120,7
614,250,120,6
615,250,120,7
616,250,120,7
617,250,120,6
618,250,120,5
619,250,120,7
620,250,120,4
621,250,120,6
622,250,120,7
623,250,120,7
624,250,120,5
625,250,120,6
626,250,120,9
627,250,120,5
628,250,120,7
629,250,120,7
630,250,120,9
631,250,120,5
632,250,120,6
633,250,120,7
634,250,120,4
635,250,120,5
636,250,120,6
637,250,120,6
638,250,120,7
639,250,120,6
640,250,120,5
641,250,120,7
642,250,120,4
643,250,120,7
644,250,120,5
645,250,120,6
646,250,120,6
647,250,120,5
648,250,120,6
649,250,120,8
650,250,120,7
651,250,120,6
652,250,120,6
653,250,120,8
654,250,120,8
655,250,120,8
656,250,120,5
657,250,120,6
658,250,120,8
659,250,120,6
660,250,120,7
661,250,120,6
662,250,120,5
663,250,120,6
664,250,120,6
665,250,120,4
666,250,120,6
