,sample,episode,number_of_iter
741,200,200,5
742,200,200,6
743,200,200,5
744,200,200,6
745,200,200,6
746,200,200,5
747,200,200,7
748,200,200,6
749,200,200,5
750,200,200,8
751,200,200,5
752,200,200,5
753,200,200,7
754,200,200,4
755,200,200,7
756,200,200,8
757,200,200,7
758,200,200,10
759,200,200,7
760,200,200,5
761,200,200,6
762,200,200,7
763,200,200,7
764,200,200,6
765,200,200,6
766,200,200,7
767,200,200,7
768,200,200,6
769,200,200,9
770,200,200,6
771,200,200,6
772,200,200,5
773,200,200,6
774,200,200,5
775,200,200,6
776,200,200,5
777,200,200,5
778,200,200,8
779,200,200,5
780,200,200,8
781,200,200,7
782,200,200,7
783,200,200,6
784,200,200,6
785,200,200,7
786,200,200,4
787,200,200,6
788,200,200,6
789,200,200,8
790,200,200,4
791,200,200,5
792,200,200,7
793,200,200,5
794,200,200,5
795,200,200,5
796,200,200,6
797,200,200,8
798,200,200,6
799,200,200,7
800,200,250,9
801,200,250,5
802,200,250,4
803,200,250,5
804,200,250,5
805,200,250,5
806,200,250,7
807,200,250,5
808,200,250,6
809,200,250,8
810,200,250,7
811,200,250,8
812,200,250,8
813,200,250,6
814,200,250,5
815,200,250,9
816,200,250,7
817,200,250,8
818,200,250,5
819,200,250,8
820,200,250,3
821,200,250,7
822,200,250,4
823,200,250,6
824,200,250,6
825,200,250,8
826,200,250,8
827,200,250,7
828,200,250,6
829,200,250,7
830,200,250,6
831,200,250,8
832,200,250,6
833,200,250,5
834,200,250,6
835,200,250,8
836,200,250,5
837,200,250,5
838,200,250,7
839,200,250,7
840,200,250,6
841,200,250,6
842,200,250,8
843,200,250,8
844,200,250,7
845,200,250,7
846,200,250,6
847,200,250,3
848,200,250,6
849,200,250,9
850,200,250,5
851,200,250,6
852,200,250,6
853,200,250,6
854,200,250,6
855,200,250,6
856,200,250,5
857,200,250,10
858,200,250,7
859,200,250,7
860,200,250,5
861,200,250,6
862,200,250,6
863,200,250,7
864,200,250,6
865,200,250,9
866,200,250,6
867,200,250,6
868,200,250,4
869,200,250,6
870,200,250,6
871,200,250,5
872,200,250,8
873,200,250,5
874,200,250,6
875,200,250,7
876,200,250,6
877,200,250,8
878,200,250,7
879,200,250,6
880,200,250,7
881,200,250,7
882,200,250,5
883,200,250,9
884,200,250,7
885,200,250,6
886,200,250,6
887,200,250,6
888,200,250,5
889,200,250,5
890,200,250,6
891,200,250,6
892,200,250,5
893,200,250,3
894,200,250,7
895,200,250,8
896,200,250,7
897,200,250,7
898,200,250,4
899,200,250,7
900,200,250,6
901,200,250,5
902,200,250,8
903,200,250,5
904,200,250,7
905,200,250,5
906,200,250,7
907,200,250,4
908,200,250,6
909,200,250,9
910,200,250,5
911,200,250,5
912,200,250,6
913,200,250,7
914,200,250,9
915,200,250,6
916,200,250,5
917,200,250,6
918,200,250,6
919,200,250,8
920,200,250,6
921,200,250,6
922,200,250,9
923,200,250,6
924,200,250,5
925,200,250,6
926,200,250,6
927,200,250,8
928,200,250,8
929,200,250,5
930,200,250,4
931,200,250,5
932,200,250,4
933,200,250,8
934,200,250,6
935,200,250,6
936,200,250,5
937,200,250,5
938,200,250,8
939,200,250,9
940,200,250,6
941,200,250,7
942,200,250,4
943,200,250,7
944,200,250,5
945,200,250,5
946,200,250,6
947,200,250,5
948,200,250,5
949,200,250,6
950,200,250,5
951,200,250,6
952,200,250,8
953,200,250,8
954,200,250,7
955,200,250,7
956,200,250,6
957,200,250,6
958,200,250,5
959,200,250,9
960,200,250,8
961,200,250,5
962,200,250,7
963,200,250,5
964,200,250,8
965,200,250,8
966,200,250,6
967,200,250,6
968,200,250,4
969,200,250,7
970,200,250,5
971,200,250,6
